IntRate,MoneySupply,MinWages,GovDebt,Food,Housing,HouseItems,Clothing,Transport,Communication,Health,Personal,Education,INFLATION
1.46,24.199.689,136.00,492.136.23,0.84 ,0.19 ,0.43 ,0.21 ,0.39 ,1.82 ,0.59 ,0.12 ,3.05,0.62 
1.45,23.068.674,136.00,494.285.94,-0.25 ,0.01 ,0.29 ,-0.67 ,0.40 ,0.04 ,0.22 ,0.36 ,1.32,0.13 
1.45,22.732.484,136.00,493.089.13,-0.46 ,0.17 ,0.28 ,-1.44 ,1.68 ,0.07 ,0.27 ,-0.07 ,-0.26,0.22 
1.30,23.279.829,151.00,500.897.64,-0.36 ,0.00 ,0.19 ,0.72 ,0.51 ,-0.29 ,0.07 ,3.55 ,0.01,0.42 
1.49,22.470.333,151.00,505.608.51,-0.67 ,0.45 ,0.25 ,0.35 ,0.13 ,0.18 ,0.03 ,0.13 ,0.07,0.01 
1.39,23.226.893,151.00,508.589.35,0.11 ,-0.03 ,0.42 ,0.92 ,0.03 ,2.68 ,0.44 ,0.04 ,-0.19,0.23 
1.31,23.556.236,151.00,510.648.18,1.78 ,1.29 ,0.33 ,0.79 ,2.98 ,7.61 ,0.48 ,0.20 ,-0.25,1.61 
1.41,23.493.551,151.00,509.570.07,2.07 ,0.43 ,0.82 ,0.42 ,2.70 ,-0.04 ,0.89 ,0.32 ,0.20,1.31 
1.22,24.798.317,151.00,512.983.39,0.53 ,0.14 ,0.61 ,0.57 ,-0.01 ,0.19 ,-0.11 ,0.18 ,0.26,0.23 
1.29,24.265.860,151.00,520.874.05,0.16 ,0.04 ,0.39 ,0.63 ,0.13 ,0.05 ,-0.06 ,0.17 ,0.10,0.14 
1.22,25.540.755,151.00,520.317.24,-0.07 ,0.74 ,0.53 ,0.51 ,0.71 ,0.10 ,-0.11 ,0.07 ,0.20,0.32 
1.20,32.633.056,151.00,529.581.47,-0.48 ,0.96 ,0.55 ,1.07 ,1.87 ,0.04 ,-0.09 ,0.49 ,0.21,0.59 
1.27,27.419.363,151.00,541.333.74,0.63 ,0.65 ,0.60 ,-0.05 ,0.72 ,0.32 ,0.17 ,0.38 ,1.41,0.57 
1.02,28.152.323,151.00,550.253.48,0.05 ,0.38 ,0.13 ,-0.56 ,0.77 ,0.14 ,0.72 ,0.18 ,2.88,0.46 
1.26,26.731.201,151.00,561.959.20,1.17 ,0.15 ,-0.06 ,-0.42 ,0.12 ,0.07 ,0.60 ,0.04 ,0.49,0.38 
1.19,27.054.050,180.00,565.464.63,1.80 ,0.64 ,0.11 ,-0.11 ,-0.32 ,0.00 ,0.19 ,0.98 ,0.64,0.58 
1.34,26.844.819,180.00,581.727.09,0.58 ,1.06 ,-0.07 ,0.14 ,0.30 ,0.05 ,-0.05 ,0.50 ,0.07,0.41 
1.27,27.749.549,180.00,586.060.21,0.10 ,1.02 ,0.04 ,1.04 ,1.34 ,1.17 ,-0.64 ,0.08 ,0.14,0.52 
1.50,27.685.495,180.00,606.367.82,0.67 ,1.97 ,0.36 ,0.69 ,2.08 ,5.43 ,0.30 ,1.27 ,0.20,1.33 
1.60,28.004.843,180.00,622.953.86,0.83 ,0.78 ,0.25 ,0.43 ,0.64 ,0.39 ,0.73 ,1.05 ,0.45,0.70 
1.32,28.812.161,180.00,635.685.65,0.39 ,0.55 ,0.17 ,0.24 ,0.07 ,-0.15 ,0.37 ,0.16 ,0.40,0.28 
1.53,28.609.530,180.00,646.099.14,1.15 ,0.67 ,1.09 ,0.61 ,0.98 ,0.07 ,0.30 ,1.31 ,0.01,0.83 
1.39,30.066.738,180.00,638.367.60,1.31 ,0.68 ,1.14 ,0.89 ,0.35 ,0.04 ,0.45 ,0.60 ,0.31,0.71 
1.39,37.668.836,180.00,648.685.21,0.56 ,0.48 ,1.25 ,1.91 ,0.69 ,-0.05 ,0.99 ,0.17 ,0.12,0.65 
1.53,32.388.231,180.00,667.556.51,0.85 ,2.81 ,1.05 ,0.55 ,-1.50 ,0.43 ,0.30 ,0.57 ,0.41,0.52 
1.25,32.102.817,180.00,662.702.47,0.20 ,0.23 ,0.66 ,-0.67 ,-0.50 ,0.40 ,1.10 ,0.37 ,4.70,0.36 
1.37,32.547.930,180.00,659.375.87,0.39 ,0.93 ,-0.13 ,0.00 ,1.04 ,0.02 ,1.29 ,-0.25 ,0.65,0.60 
1.48,31.178.230,200.00,666.783.78,-0.32 ,1.40 ,-0.02 ,1.05 ,2.02 ,0.01 ,0.76 ,0.54 ,0.38,0.80 
1.41,32.930.327,200.00,689.710.63,-0.59 ,0.28 ,0.83 ,1.39 ,0.33 ,0.00 ,0.17 ,0.68 ,0.44,0.21 
1.33,33.899.629,200.00,729.391.55,0.08 ,1.09 ,0.06 ,1.39 ,0.32 ,0.22 ,0.23 ,0.29 ,0.18,0.42 
1.54,34.679.951,200.00,805.192.46,1.05 ,1.80 ,0.21 ,0.91 ,0.55 ,9.31 ,0.53 ,1.02 ,0.12,1.19 
1.44,36.396.984,200.00,757.627.40,1.94 ,0.43 ,0.66 ,0.21 ,-0.15 ,0.47 ,0.50 ,0.53 ,0.29,0.65 
1.38,37.819.862,200.00,859.038.50,1.96 ,-0.39 ,1.73 ,0.55 ,0.34 ,0.11 ,0.64 ,0.61 ,0.40,0.72 
1.65,39.188.893,200.00,837.604.54,2.79 ,0.30 ,2.27 ,1.22 ,1.20 ,0.06 ,0.63 ,1.12 ,0.13,1.31 
1.54,41.071.902,200.00,851.603.55,5.85 ,2.02 ,2.88 ,0.97 ,4.68 ,0.03 ,0.88 ,0.41 ,0.24,3.02 
1.74,49.931.066,200.00,859.712.10,3.91 ,1.42 ,2.12 ,0.93 ,1.33 ,0.03 ,2.74 ,2.19 ,0.27,2.10 
1.97,43.639.339,200.00,877.925.86,2.15 ,1.76 ,1.90 ,0.94 ,4.20 ,0.32 ,1.44 ,1.94 ,1.23,2.25 
1.83,43.663.530,200.00,892.342.11,1.22 ,0.18 ,1.57 ,0.11 ,3.00 ,3.24 ,0.67 ,0.64 ,5.64,1.57 
1.78,39.909.573,200.00,879.741.25,1.66 ,1.09 ,1.19 ,0.60 ,0.70 ,1.58 ,2.39 ,0.72 ,0.92,1.23 
1.87,39.047.731,240.00,834.738.56,1.01 ,1.95 ,0.82 ,1.03 ,0.50 ,0.14 ,1.54 ,0.35 ,0.43,0.97 
1.97,38.816.444,240.00,853.200.52,0.63 ,2.27 ,0.29 ,1.14 ,-0.32 ,0.03 ,0.71 ,0.11 ,0.22,0.61 
1.86,38.798.575,240.00,854.468.92,-0.34 ,0.52 ,-0.03 ,1.89 ,-1.45 ,0.19 ,0.34 ,0.22 ,0.12,-0.15 
2.08,39.231.301,240.00,877.839.79,-0.67 ,0.80 ,-0.08 ,0.36 ,-0.68 ,8.33 ,0.40 ,0.17 ,0.51,0.20 
1.77,39.812.705,240.00,889.745.05,-0.27 ,1.00 ,0.10 ,0.09 ,0.12 ,1.39 ,0.25 ,1.20 ,0.35,0.34 
1.68,39.155.681,240.00,866.853.69,0.78 ,1.17 ,0.24 ,0.72 ,0.68 ,2.32 ,0.52 ,0.59 ,0.21,0.78 
1.64,40.139.626,240.00,863.060.33,0.46 ,0.44 ,0.47 ,0.92 ,-0.39 ,-0.06 ,0.64 ,0.65 ,-0.03,0.29 
1.34,42.691.722,240.00,880.388.88,0.25 ,0.29 ,0.12 ,0.99 ,0.15 ,0.03 ,0.17 ,1.27 ,0.14,0.34 
1.37,51.363.863,240.00,901.262.95,0.39 ,0.22 ,0.12 ,0.98 ,0.67 ,0.05 ,0.56 ,1.34 ,0.18,0.52 
1.27,46.063.907,240.00,917.346.23,0.88 ,1.16 ,0.37 ,0.03 ,0.79 ,0.16 ,0.43 ,0.97 ,0.68,0.76 
1.08,46.011.386,240.00,910.484.19,0.15 ,0.29 ,0.43 ,-0.23 ,0.52 ,0.83 ,0.28 ,0.39 ,6.70,0.61 
1.38,44.481.983,240.00,913.609.96,0.43 ,0.59 ,0.70 ,0.46 ,-0.08 ,0.72 ,0.74 ,1.02 ,0.62,0.47 
1.18,45.160.663,240.00,918.095.92,-0.34 ,0.82 ,0.31 ,1.11 ,0.12 ,-0.01 ,1.59 ,0.30 ,0.40,0.37 
1.23,46.024.983,260.00,941.268.02,0.23 ,0.62 ,0.29 ,1.34 ,0.54 ,0.06 ,1.25 ,0.08 ,0.25,0.51 
1.23,46.645.619,260.00,946.539.21,0.72 ,0.20 ,0.63 ,1.14 ,1.58 ,0.06 ,0.42 ,0.30 ,0.19,0.71 
1.29,48.228.562,260.00,944.978.98,0.67 ,1.28 ,0.43 ,0.51 ,1.03 ,4.46 ,0.48 ,0.50 ,0.27,0.91 
1.29,48.064.055,260.00,945.701.39,0.85 ,0.34 ,-0.03 ,0.50 ,1.21 ,0.64 ,0.42 ,0.65 ,0.57,0.69 
1.25,49.826.634,260.00,942.224.68,-0.19 ,0.30 ,0.68 ,0.96 ,0.36 ,2.82 ,0.00 ,0.46 ,0.13,0.33 
1.21,50.770.633,260.00,949.353.89,-0.23 ,0.46 ,0.49 ,1.12 ,0.98 ,0.69 ,0.40 ,0.61 ,-0.08,0.44 
1.25,52.152.496,260.00,945.276.05,-0.01 ,0.36 ,0.53 ,1.02 ,1.74 ,2.37 ,0.31 ,0.50 ,0.08,0.69 
1.48,61.935.635,260.00,961.136.09,0.65 ,0.50 ,0.47 ,1.59 ,1.71 ,0.40 ,0.35 ,0.87 ,0.33,0.86 
1.38,55.647.160,260.00,958.542.86,0.78 ,0.59 ,0.84 ,0.23 ,0.60 ,0.04 ,0.32 ,0.69 ,0.34,0.58 
1.22,54.393.943,260.00,961.434.65,0.49 ,0.44 ,0.64 ,-0.22 ,0.13 ,0.03 ,0.48 ,0.58 ,5.28,0.59 
1.53,53.295.041,260.00,970.529.23,0.26 ,0.85 ,0.18 ,0.60 ,1.33 ,0.19 ,0.25 ,0.30 ,0.43,0.61 
1.41,53.174.650,260.00,956.982.76,0.81 ,0.83 ,0.52 ,0.92 ,1.08 ,0.67 ,1.55 ,0.45 ,0.14,0.87 
1.50,53.034.047,300.00,952.854.87,0.65 ,0.65 ,0.58 ,1.45 ,-0.04 ,-0.17 ,1.06 ,0.34 ,0.09,0.49 
1.59,53.931.040,300.00,960.506.01,-0.67 ,0.33 ,0.17 ,0.38 ,-0.29 ,0.71 ,0.18 ,0.60 ,0.24,-0.02 
1.51,55.627.479,300.00,970.176.25,-0.77 ,0.04 ,0.25 ,0.15 ,0.62 ,3.80 ,0.37 ,0.63 ,0.17,0.25 
1.66,55.037.412,300.00,976.027.54,-0.73 ,0.41 ,0.25 ,0.05 ,0.41 ,1.08 ,0.41 ,0.65 ,0.19,0.17 
1.50,56.352.150,300.00,971.650.69,-0.25 ,0.61 ,-0.26 ,0.19 ,0.86 ,0.00 ,0.45 ,0.73 ,0.09,0.35 
1.41,57.231.946,300.00,978.031.30,0.27 ,0.45 ,-0.37 ,0.72 ,2.21 ,0.00 ,0.45 ,0.74 ,-0.14,0.75 
1.38,59.440.290,300.00,983.151.52,0.88 ,0.64 ,-0.47 ,0.85 ,0.66 ,-0.05 ,0.32 ,0.61 ,-0.03,0.55 
1.47,70.033.641,300.00,1.010.240.62,0.27 ,0.42 ,0.36 ,1.58 ,0.24 ,0.03 ,0.20 ,0.45 ,0.26,0.36 
1.43,62.265.028,300.00,1.022.617.57,0.11 ,-0.01 ,0.60 ,0.03 ,1.52 ,0.03 ,0.72 ,0.94 ,0.57,0.59 
1.15,64.861.545,300.00,1.023.883.68,-0.28 ,0.32 ,-0.39 ,-0.54 ,0.76 ,0.06 ,0.45 ,0.34 ,4.44,0.41 
1.42,60.667.366,300.00,1.032.060.29,-0.24 ,0.58 ,-0.14 ,0.21 ,1.13 ,0.04 ,0.50 ,0.40 ,0.71,0.43 
1.08,61.966.202,350.00,1.019.291.28,-0.27 ,0.58 ,-0.72 ,1.18 ,-0.01 ,0.14 ,1.18 ,0.20 ,0.02,0.21 
1.28,61.236.590,350.00,1.042.621.49,-0.03 ,0.33 ,-0.61 ,0.90 ,-0.42 ,0.04 ,0.90 ,0.37 ,-0.04,0.10 
1.18,63.272.460,350.00,1.037.934.84,-0.61 ,0.41 ,-0.63 ,0.59 ,-0.93 ,0.01 ,0.35 ,0.26 ,0.02,-0.21 
1.17,65.769.979,350.00,1.045.318.25,0.09 ,-0.02 ,0.02 ,-0.24 ,0.37 ,-0.07 ,0.44 ,0.67 ,0.09,0.19 
1.26,66.384.250,350.00,1.049.893.42,0.07 ,0.11 ,-0.14 ,0.09 ,-0.32 ,-0.30 ,0.20 ,0.96 ,-0.02,0.05 
1.06,71.347.771,350.00,1.061.646.39,0.08 ,0.42 ,-0.14 ,0.46 ,-0.01 ,-0.07 ,0.28 ,0.89 ,-0.01,0.21 
1.09,71.119.021,350.00,1.061.724.39,0.88 ,0.20 ,-0.41 ,0.64 ,-0.13 ,-0.01 ,0.37 ,0.87 ,0.17,0.33 
1.02,73.640.792,350.00,1.074.336.32,1.05 ,-0.08 ,0.00 ,0.65 ,-0.09 ,-0.10 ,0.22 ,0.69 ,0.03,0.31 
0.99,85.824.753,350.00,1.091.255.36,0.39 ,0.19 ,-0.18 ,1.00 ,1.14 ,-0.01 ,0.25 ,0.44 ,0.17,0.48 
1.08,76.881.753,350.00,1.102.636.37,0.84 ,0.07 ,0.29 ,-0.19 ,0.62 ,0.07 ,0.47 ,0.70 ,0.07,0.44 
0.87,75.702.005,350.00,1.111.459.95,0.78 ,0.19 ,-0.45 ,-0.72 ,0.07 ,-0.28 ,0.40 ,0.43 ,3.48,0.44 
1.05,74.489.218,350.00,1.112.960.56,0.98 ,0.26 ,-0.41 ,0.47 ,0.22 ,0.01 ,0.32 ,0.41 ,0.02,0.37 
0.94,75.535.634,380.00,1.106.671.09,0.03 ,0.39 ,-0.18 ,0.33 ,0.31 ,0.24 ,0.47 ,0.46 ,0.04,0.25 
1.03,75.084.791,380.00,1.105.428.31,0.16 ,0.19 ,-0.17 ,0.68 ,0.23 ,0.07 ,0.57 ,0.74 ,0.06,0.28 
0.91,77.487.205,380.00,1.108.049.12,1.09 ,0.25 ,-0.65 ,0.91 ,-0.40 ,-0.05 ,0.32 ,0.42 ,0.04,0.28 
0.97,78.422.778,380.00,1.110.791.71,1.27 ,-0.74 ,-0.39 ,-0.16 ,-0.08 ,0.42 ,0.33 ,0.52 ,0.06,0.24 
0.99,79.834.788,380.00,1.123.920.11,1.39 ,0.05 ,0.08 ,-0.03 ,0.05 ,0.71 ,0.31 ,0.59 ,0.38,0.47 
0.80,83.963.314,380.00,1.125.937.87,0.44 ,0.54 ,0.17 ,0.45 ,-0.16 ,-0.53 ,0.35 ,0.14 ,-0.11,0.18 
0.93,83.780.516,380.00,1.152.686.61,0.52 ,-0.02 ,0.10 ,0.72 ,0.12 ,0.05 ,0.49 ,0.59 ,0.01,0.30 
0.84,88.018.029,380.00,1.161.273.55,0.73 ,0.41 ,-0.46 ,0.55 ,0.38 ,0.01 ,0.35 ,0.35 ,0.02,0.38 
0.84,102.885.047,380.00,1.181.418.39,2.06 ,0.16 ,-0.43 ,0.72 ,0.71 ,-0.03 ,0.00 ,1.00 ,0.07,0.74 
0.93,92.924.567,380.00,1.173.193.13,1.52 ,0.16 ,0.16 ,-0.08 ,0.40 ,-0.03 ,0.41 ,0.54 ,0.20,0.54 
0.80,89.929.221,380.00,1.187.260.00,0.60 ,0.20 ,-0.11 ,-0.54 ,0.06 ,0.22 ,0.44 ,0.54 ,3.47,0.49 
0.84,89.466.285,415.00,1.175.814.84,0.89 ,0.65 ,-0.38 ,0.75 ,0.42 ,0.03 ,0.50 ,0.09 ,0.24,0.48 
0.90,89.875.895,415.00,1.187.179.50,1.29 ,0.19 ,0.32 ,1.53 ,-0.05 ,0.06 ,0.76 ,0.49 ,0.05,0.55 
0.88,90.911.590,415.00,1.205.083.17,1.95 ,0.32 ,0.17 ,0.98 ,0.33 ,-0.02 ,0.65 ,1.11 ,0.03,0.79 
0.96,92.567.910,415.00,1.245.468.95,2.11 ,0.26 ,0.13 ,0.42 ,0.26 ,0.29 ,0.66 ,0.54 ,0.05,0.74 
1.07,94.091.397,415.00,1.258.612.60,1.05 ,0.60 ,0.05 ,-0.03 ,0.46 ,0.36 ,0.47 ,0.51 ,-0.02,0.53 
1.02,95.835.308,415.00,1.252.750.34,-0.18 ,0.77 ,0.23 ,0.39 ,0.06 ,0.69 ,0.32 ,0.73 ,0.42,0.28 
1.10,98.211.453,415.00,1.210.130.01,-0.27 ,0.50 ,0.37 ,0.70 ,0.39 ,-0.12 ,0.46 ,0.80 ,-0.05,0.26 
1.18,99.045.163,415.00,1.169.102.57,0.69 ,0.62 ,0.40 ,1.27 ,0.02 ,0.17 ,0.26 ,0.68 ,0.02,0.45 
1.02,102.430.156,415.00,1.147.607.87,0.61 ,0.43 ,0.68 ,0.71 ,-0.02 ,0.13 ,0.33 ,0.50 ,0.05,0.36 
1.12,115.590.704,415.00,1.175.202.88,0.36 ,0.28 ,-0.04 ,0.99 ,-0.03 ,0.00 ,0.32 ,0.59 ,0.08,0.28 
1.05,103.358.929,415.00,1.192.857.29,0.75 ,0.49 ,0.45 ,0.05 ,0.35 ,0.05 ,0.55 ,0.65 ,0.34,0.48 
0.86,103.124.591,465.00,1.198.527.06,0.27 ,0.22 ,0.28 ,-0.24 ,0.24 ,0.15 ,0.46 ,0.31 ,4.77,0.55 
0.97,99.304.427,465.00,1.196.634.19,0.30 ,0.25 ,0.48 ,0.70 ,-0.07 ,0.05 ,0.37 ,0.35 ,-0.37,0.20 
0.84,101.681.988,465.00,1.217.629.67,0.15 ,0.75 ,-0.50 ,1.08 ,-0.21 ,0.08 ,1.10 ,2.14 ,0.09,0.48 
0.77,102.161.375,465.00,1.255.305.58,0.44 ,0.72 ,0.05 ,1.16 ,-0.18 ,-0.01 ,0.68 ,1.57 ,0.03,0.47 
0.76,103.474.382,465.00,1.271.909.27,0.70 ,0.27 ,0.84 ,0.53 ,0.02 ,-0.16 ,0.49 ,0.49 ,0.03,0.36 
0.79,105.082.619,465.00,1.309.624.96,-0.06 ,1.11 ,0.37 ,-0.01 ,0.14 ,-0.10 ,0.31 ,0.26 ,0.11,0.24 
0.69,107.131.584,465.00,1.315.493.35,-0.01 ,0.47 ,-0.24 ,0.13 ,-0.11 ,-0.02 ,0.21 ,0.27 ,0.83,0.15 
0.69,110.167.848,465.00,1.352.484.66,-0.14 ,0.62 ,-0.03 ,0.58 ,0.27 ,0.22 ,0.30 ,0.52 ,0.07,0.24 
0.69,112.123.031,465.00,1.359.093.20,-0.09 ,0.28 ,0.38 ,0.64 ,0.51 ,0.91 ,0.30 ,0.20 ,0.04,0.28 
0.66,116.484.422,465.00,1.358.562.54,0.58 ,0.19 ,0.43 ,0.58 ,0.61 ,0.01 ,0.24 ,0.55 ,0.01,0.41 
0.73,131.861.185,465.00,1.378.128.65,0.24 ,0.17 ,0.51 ,0.76 ,0.78 ,-0.11 ,0.24 ,0.46 ,0.10,0.37 
0.66,121.122.443,510.00,1.354.993.66,1.13 ,0.27 ,0.41 ,0.31 ,1.45 ,0.00 ,0.36 ,0.78 ,0.26,0.75 
0.59,120.541.695,510.00,1.380.642.62,0.96 ,0.31 ,0.36 ,-0.52 ,0.79 ,0.03 ,0.23 ,0.40 ,4.53,0.78 
0.76,119.108.107,510.00,1.399.577.96,1.55 ,0.32 ,1.00 ,0.66 ,-0.54 ,0.08 ,0.27 ,0.77 ,0.54,0.52 
0.67,118.866.248,510.00,1.405.027.69,1.45 ,0.08 ,-0.04 ,1.28 ,-0.08 ,-0.03 ,0.84 ,0.66 ,0.11,0.57 
0.75,120.033.926,510.00,1.407.973.82,0.28 ,0.78 ,0.59 ,0.91 ,0.09 ,-0.01 ,0.74 ,0.75 ,0.04,0.43 
0.79,120.771.511,510.00,1.423.889.35,-0.90 ,0.40 ,0.35 ,0.58 ,-0.21 ,0.02 ,0.57 ,0.74 ,0.03,0.00 
0.86,123.907.497,510.00,1.446.566.97,-0.76 ,0.54 ,0.29 ,-0.04 ,0.08 ,0.00 ,0.31 ,0.54 ,-0.03,0.01 
0.89,127.034.627,510.00,1.459.448.53,-0.24 ,0.23 ,-0.31 ,0.17 ,-0.09 ,-0.03 ,0.26 ,0.20 ,0.44,0.04 
0.85,131.585.360,510.00,1.448.230.71,1.08 ,0.40 ,0.46 ,0.45 ,0.13 ,0.04 ,0.36 ,0.34 ,0.08,0.45 
0.81,131.645.973,510.00,1.452.759.58,1.89 ,0.48 ,0.37 ,0.89 ,0.36 ,0.29 ,0.26 ,0.64 ,0.02,0.75 
0.81,134.669.566,510.00,1.468.353.89,2.22 ,0.57 ,-0.12 ,1.25 ,0.13 ,0.42 ,0.36 ,0.74 ,0.06,0.83 
0.93,151.145.368,510.00,1.495.284.55,1.32 ,0.49 ,0.10 ,1.34 ,0.29 ,0.05 ,0.39 ,0.57 ,0.05,0.63 
