IntRate,MoneySupply,MinWages,GovDebt,Food,Housing,HouseItems,Clothing,Transport,Communication,Health,Personal,Education,INFLATION
0.86,138.318.334,540.00,1.496.047.48,1.16 ,0.61 ,0.25 ,0.12 ,1.55 ,0.29 ,0.47 ,0.83 ,0.30,0.83 
0.84,135.091.967,540.00,1.514.627.48,0.23 ,0.32 ,0.44 ,-0.25 ,0.46 ,0.49 ,0.31 ,1.43 ,5.81,0.80 
0.92,133.099.291,545.00,1.527.057.76,0.75 ,0.46 ,0.21 ,0.56 ,1.56 ,0.17 ,0.45 ,0.78 ,1.04,0.79 
0.84,133.517.139,545.00,1.539.945.02,0.58 ,0.77 ,-0.62 ,1.42 ,1.57 ,0.00 ,0.98 ,0.57 ,0.09,0.77 
0.99,133.106.831,545.00,1.555.684.57,0.63 ,0.97 ,0.09 ,1.19 ,-0.24 ,0.15 ,0.73 ,0.72 ,0.01,0.47 
0.96,133.899.009,545.00,1.569.058.06,-0.26 ,0.58 ,0.42 ,1.25 ,-0.61 ,-0.05 ,0.67 ,0.67 ,0.11,0.15 
0.97,136.240.134,545.00,1.573.965.23,-0.34 ,0.27 ,0.03 ,0.10 ,0.46 ,-0.04 ,0.47 ,0.49 ,0.11,0.16 
1.07,137.401.118,545.00,1.568.355.81,0.72 ,0.32 ,0.57 ,0.67 ,-0.11 ,-0.06 ,0.43 ,0.50 ,0.17,0.37 
0.94,142.007.944,545.00,1.501.918.85,0.64 ,0.71 ,-0.36 ,0.80 ,0.78 ,-0.04 ,0.34 ,0.53 ,0.14,0.53 
0.88,144.053.802,545.00,1.557.328.59,0.56 ,0.62 ,-0.20 ,0.74 ,0.48 ,0.13 ,0.45 ,0.22 ,0.07,0.43 
0.86,146.468.661,545.00,1.535.015.14,1.08 ,0.47 ,0.05 ,0.58 ,0.01 ,0.39 ,0.42 ,0.88 ,0.02,0.52 
0.91,162.769.670,545.00,1.536.153.85,1.23 ,0.45 ,-0.87 ,0.80 ,0.00 ,0.07 ,0.44 ,0.68 ,0.05,0.50 
0.89,149.195.222,622.00,1.571.757.02,0.86 ,0.53 ,0.16 ,0.07 ,0.69 ,0.21 ,0.30 ,0.71 ,0.39,0.56 
0.75,147.869.699,622.00,1.590.253.05,0.19 ,0.60 ,0.06 ,-0.23 ,-0.33 ,-0.17 ,0.70 ,0.88 ,5.62,0.45 
0.82,145.223.965,622.00,1.557.626.95,0.25 ,0.48 ,-0.40 ,-0.61 ,0.16 ,-0.36 ,0.38 ,0.55 ,0.54,0.21 
0.71,148.228.803,622.00,1.534.608.97,0.51 ,0.80 ,-0.79 ,0.98 ,0.10 ,0.46 ,0.96 ,2.23 ,0.04,0.64 
0.74,147.811.284,622.00,1.516.641.09,0.73 ,0.80 ,0.17 ,0.89 ,-0.58 ,-0.19 ,0.66 ,0.60 ,-0.01,0.36 
0.64,151.219.217,622.00,1.532.365.01,0.68 ,0.28 ,-0.03 ,0.39 ,-1.18 ,-0.01 ,0.38 ,0.47 ,0.06,0.08 
0.68,154.222.044,622.00,1.534.757.32,0.91 ,0.54 ,-0.01 ,0.04 ,-0.03 ,0.15 ,0.36 ,0.91 ,0.12,0.43 
0.69,155.406.459,622.00,1.559.624.44,0.88 ,0.22 ,0.40 ,0.19 ,0.06 ,-0.01 ,0.53 ,0.42 ,0.51,0.41 
0.54,160.602.700,622.00,1.557.624.07,1.26 ,0.71 ,0.18 ,0.89 ,-0.08 ,0.03 ,0.32 ,0.73 ,0.10,0.57 
0.61,160.564.565,622.00,1.567.887.31,1.36 ,0.38 ,0.37 ,1.09 ,0.24 ,0.31 ,0.48 ,0.10 ,0.05,0.59 
0.55,164.799.194,622.00,1.564.275.50,0.79 ,0.64 ,0.47 ,0.86 ,0.68 ,0.31 ,0.32 ,0.53 ,0.05,0.60 
0.55,187.434.736,622.00,1.581.280.63,1.03 ,0.63 ,0.27 ,1.11 ,0.75 ,0.03 ,0.40 ,1.60 ,0.19,0.79 
0.60,167.743.523,678.00,1.599.520.85,1.99 ,-0.20 ,1.15 ,-0.53 ,0.75 ,-0.08 ,0.73 ,1.55 ,0.35,0.86 
0.49,164.991.143,678.00,1.631.793.22,1.45 ,-2.38 ,0.53 ,0.55 ,0.81 ,0.10 ,0.65 ,0.57 ,5.40,0.60 
0.55,165.953.654,678.00,1.623.965.40,1.14 ,0.51 ,0.11 ,0.15 ,-0.09 ,0.13 ,0.32 ,0.54 ,0.56,0.47 
0.61,163.834.777,678.00,1.635.030.71,0.96 ,0.62 ,0.63 ,0.65 ,-0.19 ,-0.32 ,1.28 ,0.61 ,0.10,0.55 
0.60,166.448.371,678.00,1.618.268.69,0.31 ,0.75 ,0.46 ,0.84 ,-0.25 ,0.08 ,0.94 ,0.41 ,0.06,0.37 
0.61,166.507.946,678.00,1.617.045.25,0.04 ,0.57 ,0.12 ,0.50 ,0.14 ,0.19 ,0.36 ,0.40 ,0.18,0.26 
0.72,169.009.081,678.00,1.614.285.77,-0.33 ,0.57 ,0.28 ,-0.39 ,-0.66 ,0.20 ,0.34 ,1.13 ,0.11,0.03 
0.71,170.808.722,678.00,1.615.203.05,0.01 ,0.57 ,0.89 ,0.08 ,-0.06 ,0.02 ,0.45 ,0.39 ,0.67,0.24 
0.71,175.857.887,678.00,1.656.896.58,0.14 ,0.62 ,0.65 ,0.63 ,0.44 ,-0.04 ,0.46 ,0.20 ,0.12,0.35 
0.81,175.365.950,678.00,1.683.156.11,1.03 ,0.56 ,0.81 ,1.13 ,0.17 ,0.08 ,0.39 ,0.43 ,0.09,0.57 
0.72,182.559.219,678.00,1.647.842.63,0.56 ,0.69 ,0.38 ,0.85 ,0.36 ,0.40 ,0.41 ,0.87 ,0.08,0.54 
0.79,204.052.420,678.00,1.660.187.02,0.89 ,0.52 ,0.89 ,0.80 ,1.85 ,0.74 ,0.41 ,1.00 ,0.05,0.92 
0.85,184.028.431,724.00,1.650.951.25,0.84 ,0.55 ,0.49 ,-0.15 ,-0.03 ,0.03 ,0.48 ,1.72 ,0.57,0.55 
0.79,189.754.314,724.00,1.686.848.50,0.56 ,0.77 ,1.07 ,-0.40 ,-0.05 ,0.14 ,0.74 ,0.69 ,5.97,0.69 
0.77,181.861.508,724.00,1.706.644.69,1.92 ,0.33 ,0.38 ,0.31 ,1.38 ,-1.26 ,0.43 ,0.79 ,0.53,0.92 
0.82,182.000.614,724.00,1.716.892.60,1.19 ,0.87 ,0.20 ,0.47 ,0.32 ,0.02 ,1.01 ,0.31 ,0.03,0.67 
0.87,180.083.527,724.00,1.750.829.66,0.58 ,0.61 ,1.03 ,0.84 ,-0.45 ,0.11 ,0.98 ,0.80 ,0.13,0.46 
0.82,184.543.364,724.00,1.779.742.89,-0.11 ,0.55 ,0.38 ,0.49 ,0.37 ,-0.02 ,0.60 ,1.57 ,0.02,0.40 
0.95,184.054.315,724.00,1.799.679.43,-0.15 ,1.20 ,0.86 ,-0.24 ,-0.98 ,-0.79 ,0.50 ,0.12 ,0.04,0.01 
0.87,187.277.025,724.00,1.838.332.58,-0.15 ,0.94 ,0.47 ,-0.15 ,0.33 ,0.10 ,0.41 ,0.09 ,0.43,0.25 
0.91,192.199.816,724.00,1.850.280.06,0.78 ,0.77 ,0.34 ,0.57 ,0.63 ,0.13 ,0.33 ,0.39 ,0.18,0.57 
0.95,192.507.591,724.00,1.878.610.91,0.46 ,0.68 ,0.19 ,0.62 ,0.39 ,-0.05 ,0.39 ,0.36 ,0.11,0.42 
0.84,199.389.685,724.00,1.891.087.24,0.77 ,0.69 ,-0.04 ,0.39 ,0.43 ,0.08 ,0.42 ,0.48 ,0.21,0.51 
0.96,220.853.706,724.00,1.915.773.07,1.08 ,0.51 ,0.00 ,0.85 ,1.38 ,0.00 ,0.47 ,0.70 ,0.07,0.78 
0.94,199.352.047,788.00,1.934.268.91,1.48 ,2.42 ,-0.28 ,-0.69 ,1.83 ,0.15 ,0.32 ,1.68 ,0.31,1.24 
0.82,198.076.416,788.00,1.927.287.63,0.81 ,1.22 ,0.87 ,-0.60 ,2.20 ,-0.02 ,0.60 ,0.86 ,5.88,1.22 
1.04,198.876.067,788.00,1.919.732.26,1.17 ,5.29 ,0.35 ,0.59 ,0.46 ,-1.16 ,0.69 ,0.36 ,0.75,1.32 
0.95,197.269.641,788.00,1.972.169.01,0.97 ,0.93 ,0.66 ,0.91 ,0.11 ,0.31 ,1.32 ,0.51 ,0.21,0.71 
0.99,194.541.991,788.00,1.984.129.32,1.37 ,1.22 ,0.36 ,0.61 ,-0.29 ,0.17 ,1.10 ,0.74 ,0.06,0.74 
1.07,195.609.781,788.00,2.033.575.55,0.63 ,0.86 ,0.72 ,0.58 ,0.70 ,0.34 ,0.91 ,1.63 ,0.20,0.79 
1.18,195.652.043,788.00,2.043.298.54,0.65 ,1.52 ,0.86 ,-0.31 ,0.15 ,0.30 ,0.84 ,0.61 ,0.00,0.62 
1.11,195.156.210,788.00,2.034.274.14,-0.01 ,0.29 ,0.37 ,0.20 ,-0.27 ,0.14 ,0.62 ,0.75 ,0.82,0.22 
1.11,196.014.794,788.00,2.029.610.73,0.24 ,1.30 ,0.19 ,0.50 ,0.71 ,0.01 ,0.55 ,0.33 ,0.25,0.54 
1.11,203.232.424,788.00,2.094.869.64,0.77 ,0.75 ,0.39 ,0.67 ,1.72 ,0.39 ,0.55 ,0.57 ,0.10,0.82 
1.06,205.317.865,788.00,2.160.879.33,1.83 ,0.76 ,0.31 ,0.79 ,1.08 ,1.03 ,0.64 ,0.52 ,0.22,1.01 
1.16,225.485.184,788.00,2.272.217.17,1.50 ,0.49 ,0.46 ,1.15 ,1.36 ,0.43 ,0.70 ,0.57 ,0.22,0.96 
1.06,207.609.265,880.00,2.286.788.39,2.28 ,0.81 ,0.45 ,-0.24 ,1.77 ,0.22 ,0.81 ,1.19 ,0.31,1.27 
1.00,205.134.265,880.00,2.360.392.03,1.06 ,-0.15 ,1.01 ,0.24 ,0.62 ,0.66 ,0.94 ,0.77 ,5.90,0.90 
1.16,203.800.952,880.00,2.423.128.13,1.24 ,-0.64 ,0.70 ,0.69 ,0.16 ,-1.65 ,0.78 ,0.60 ,0.63,0.43 
1.06,202.066.369,880.00,2.458.650.72,1.09 ,-0.38 ,0.26 ,0.40 ,0.03 ,1.47 ,2.33 ,0.23 ,0.20,0.61 
1.11,202.463.099,880.00,2.493.775.18,0.78 ,1.79 ,0.63 ,0.91 ,-0.58 ,0.01 ,1.62 ,1.35 ,0.16,0.78 
1.16,201.406.919,880.00,2.627.112.10,0.71 ,0.63 ,0.26 ,0.32 ,-0.53 ,0.04 ,0.83 ,0.35 ,0.11,0.35 
1.11,202.192.048,880.00,2.672.668.30,1.32 ,-0.29 ,0.53 ,-0.38 ,0.40 ,0.02 ,0.61 ,0.70 ,0.04,0.52 
1.22,202.032.992,880.00,2.742.366.38,0.30 ,0.30 ,0.36 ,0.15 ,0.27 ,-0.02 ,0.80 ,0.96 ,0.99,0.44 
1.11,209.290.951,880.00,2.805.851.53,-0.29 ,0.63 ,-0.23 ,0.43 ,-0.10 ,0.18 ,0.33 ,0.10 ,0.18,0.08 
1.05,209.213.988,880.00,2.824.324.97,-0.05 ,0.42 ,-0.13 ,0.45 ,0.75 ,0.07 ,0.43 ,0.01 ,0.02,0.26 
1.04,210.046.637,880.00,2.831.739.36,-0.20 ,0.30 ,-0.16 ,0.20 ,0.28 ,0.27 ,0.57 ,0.47 ,0.06,0.18 
1.12,232.145.593,880.00,2.994.966.58,0.08 ,-0.59 ,-0.31 ,0.32 ,1.11 ,0.02 ,0.49 ,1.01 ,0.07,0.30 
1.09,212.760.315,937.00,3.047.147.56,0.35 ,0.17 ,-0.10 ,-0.36 ,0.77 ,0.63 ,0.55 ,0.45 ,0.29,0.38 
0.87,217.874.918,937.00,3.109.156.92,-0.45 ,0.24 ,0.18 ,-0.13 ,0.24 ,0.66 ,0.65 ,0.31 ,5.04,0.33 
1.05,208.947.637,937.00,3.138.396.32,0.34 ,1.18 ,-0.29 ,-0.12 ,-0.86 ,-0.63 ,0.69 ,0.52 ,0.95,0.25 
0.79,214.125.862,937.00,3.146.590.00,0.58 ,-1.09 ,-0.28 ,0.48 ,-0.06 ,0.55 ,1.00 ,0.09 ,0.03,0.14 
0.93,210.464.623,937.00,3.199.139.69,-0.35 ,2.14 ,-0.23 ,0.98 ,-0.42 ,0.09 ,0.62 ,0.23 ,0.08,0.31 
0.81,213.569.522,937.00,3.230.607.09,-0.50 ,-0.77 ,-0.07 ,0.21 ,-0.52 ,0.09 ,0.46 ,0.33 ,0.08,-0.23 
0.80,215.271.559,937.00,3.323.550.18,-0.47 ,1.64 ,-0.23 ,-0.42 ,0.34 ,-0.02 ,0.37 ,0.36 ,-0.02,0.24 
0.80,213.951.154,937.00,3.367.257.37,-1.07 ,0.57 ,0.20 ,0.29 ,1.53 ,-0.56 ,0.41 ,0.29 ,0.24,0.19 
0.64,218.720.929,937.00,3.411.459.81,-0.41 ,-0.12 ,0.13 ,0.28 ,0.79 ,0.50 ,0.32 ,0.56 ,0.04,0.16 
0.64,219.653.157,937.00,3.415.082.17,-0.05 ,1.33 ,-0.39 ,0.71 ,0.49 ,0.40 ,0.52 ,0.32 ,0.06,0.42 
0.57,223.157.435,937.00,3.453.857.69,-0.38 ,1.27 ,-0.45 ,0.10 ,0.52 ,0.15 ,0.34 ,0.42 ,0.03,0.28 
0.54,250.363.681,937.00,3.505.361.47,0.54 ,-0.40 ,0.03 ,0.84 ,1.23 ,-0.11 ,0.40 ,0.42 ,0.15,0.44 
0.58,228.438.630,954.00,3.532.846.45,0.74 ,-0.85 ,0.14 ,-0.98 ,1.10 ,0.11 ,0.42 ,0.22 ,0.22,0.29 
0.47,225.267.440,954.00,3.560.272.77,-0.33 ,0.22 ,0.03 ,-0.38 ,0.74 ,0.05 ,0.38 ,0.17 ,3.89,0.32 
0.53,224.299.131,954.00,3.579.759.73,0.07 ,0.19 ,0.08 ,0.33 ,-0.25 ,-0.33 ,0.48 ,0.05 ,0.28,0.09 
0.52,223.343.738,954.00,3.566.365.94,0.09 ,0.17 ,0.22 ,0.62 ,0.00 ,-0.07 ,0.91 ,0.12 ,0.08,0.22 
0.52,224.373.209,954.00,3.540.645.07,0.32 ,0.83 ,-0.06 ,0.58 ,0.40 ,0.16 ,0.57 ,0.11 ,0.06,0.40 
0.52,225.768.541,954.00,3.573.675.31,2.03 ,2.48 ,0.34 ,-0.16 ,1.58 ,0.00 ,0.37 ,0.33 ,0.02,1.26 
0.54,227.029.344,954.00,3.641.522.19,-0.12 ,1.54 ,0.47 ,-0.60 ,0.49 ,0.08 ,0.07 ,0.31 ,-0.08,0.33 
0.57,230.592.551,954.00,3.595.765.86,-0.34 ,0.44 ,0.56 ,0.19 ,-1.22 ,0.03 ,0.53 ,0.36 ,0.25,-0.09 
0.47,235.679.069,954.00,3.673.267.23,0.10 ,0.37 ,0.11 ,-0.02 ,1.69 ,-0.07 ,0.28 ,0.38 ,0.24,0.48 
0.54,235.090.180,954.00,3.772.984.29,0.59 ,0.14 ,0.76 ,0.33 ,0.92 ,0.02 ,0.27 ,0.25 ,0.04,0.45 
0.49,238.857.805,954.00,3.778.639.62,0.39 ,-0.71 ,0.48 ,-0.43 ,-0.74 ,-0.07 ,-0.71 ,0.36 ,0.04,-0.21 
0.49,264.967.669,954.00,3.832.957.88,0.44 ,-0.15 ,0.57 ,1.14 ,-0.54 ,0.01 ,0.32 ,0.29 ,0.21,0.15 
0.54,241.502.408,998.00,3.867.946.08,0.90 ,0.24 ,0.32 ,-1.15 ,0.02 ,0.04 ,0.26 ,0.61 ,0.12,0.32 
0.49,241.233.707,998.00,3.899.150.46,0.78 ,0.38 ,0.20 ,-0.33 ,-0.34 ,0.00 ,0.49 ,0.18 ,3.53,0.43 
0.47,236.674.943,998.00,3.882.047.42,1.37 ,0.25 ,0.27 ,0.45 ,1.44 ,-0.22 ,0.42 ,0.16 ,0.32,0.75 
0.52,235.680.830,998.00,3.898.797.52,0.63 ,0.24 ,-0.24 ,0.18 ,0.94 ,0.03 ,1.51 ,0.17 ,0.09,0.57 
0.54,233.750.937,998.00,3.941.330.33,-0.56 ,0.98 ,-0.10 ,0.34 ,0.07 ,-0.03 ,0.59 ,0.16 ,-0.04,0.13 
0.47,235.378.622,998.00,3.994.529.30,-0.25 ,0.07 ,0.02 ,0.30 ,-0.31 ,-0.02 ,0.64 ,0.15 ,0.14,0.01 
0.57,236.223.218,998.00,4.018.959.15,0.01 ,1.20 ,0.29 ,-0.52 ,-0.17 ,0.57 ,-0.20 ,0.44 ,0.04,0.19 
0.50,237.058.538,998.00,4.095.014.42,-0.35 ,1.19 ,0.56 ,0.23 ,-0.39 ,0.09 ,-0.03 ,0.31 ,0.16,0.11 
0.46,243.901.597,998.00,4.119.034.74,-0.43 ,0.02 ,-0.76 ,0.27 ,0.00 ,-0.01 ,0.58 ,0.04 ,0.04,-0.04 
0.48,245.421.698,998.00,4.131.475.84,0.05 ,-0.61 ,-0.09 ,0.63 ,0.45 ,-0.01 ,0.40 ,0.20 ,0.03,0.10 
0.38,254.589.175,998.00,4.190.113.83,0.72 ,0.71 ,-0.36 ,0.35 ,0.30 ,-0.02 ,0.21 ,1.24 ,0.08,0.51 
0.37,280.685.185,998.00,4.231.844.48,3.38 ,-0.82 ,-0.48 ,0.00 ,1.54 ,0.66 ,0.42 ,0.92 ,0.20,1.15 
0.38,257.444.800,1.039.00,4.222.098.35,0.39 ,0.55 ,-0.07 ,-0.48 ,0.32 ,0.12 ,-0.32 ,0.35 ,0.16,0.21 
0.29,259.344.600,1.045.00,4.279.750.33,0.11 ,-0.39 ,-0.08 ,-0.73 ,-0.23 ,0.21 ,0.73 ,0.31 ,3.70,0.25 
0.34,259.536.017,1.045.00,4.358.648.27,1.13 ,0.13 ,-1.08 ,0.21 ,-0.90 ,0.04 ,0.21 ,-0.23 ,0.59,0.07 
0.28,291.214.979,1.045.00,4.488.713.15,1.79 ,-0.10 ,-1.37 ,0.10 ,-2.66 ,-0.20 ,-0.22 ,-0.14 ,0.00,-0.31 
0.24,315.117.776,1.045.00,4.638.022.09,0.24 ,-0.25 ,0.58 ,-0.58 ,-1.90 ,0.24 ,-0.10 ,-0.04 ,0.02,-0.38 
0.21,335.059.751,1.045.00,4.853.880.43,0.38 ,0.04 ,1.30 ,-0.46 ,0.31 ,0.75 ,0.35 ,-0.05 ,0.05,0.26 
0.19,345.720.204,1.045.00,4.947.120.54,0.01 ,0.80 ,0.90 ,-0.52 ,0.78 ,0.51 ,0.44 ,-0.11 ,-0.12,0.36 
0.16,351.356.872,1.045.00,4.730.781.08,0.78 ,0.36 ,0.56 ,-0.78 ,0.82 ,0.67 ,0.50 ,-0.01 ,-3.47,0.24 
0.16,354.308.092,1.045.00,4.837.826.42,2.28 ,0.37 ,1.00 ,0.37 ,0.70 ,0.15 ,-0.64 ,0.09 ,-0.09,0.64 
0.16,356.836.332,1.045.00,4.881.049.95,1.93 ,0.36 ,1.53 ,1.11 ,1.19 ,0.21 ,0.28 ,0.19 ,-0.04,0.86 
0.15,359.042.563,1.045.00,4.896.226.11,2.54 ,0.44 ,0.86 ,0.07 ,1.33 ,0.29 ,-0.13 ,0.01 ,-0.02,0.89 
0.16,370.441.036,1.045.00,4.973.115.05,1.74 ,2.88 ,1.76 ,0.59 ,1.36 ,0.39 ,0.40 ,0.65 ,0.48,1.35 
0.15,363.537.625,1.100.00,4.962.494.67,1.02 ,-1.07 ,0.86 ,-0.07 ,0.41 ,0.02 ,0.32 ,0.39 ,0.13,0.25 
0.13,350.885.762,1.100.00,5.004.301.39,0.27 ,0.40 ,0.66 ,0.38 ,2.28 ,-0.13 ,0.62 ,0.17 ,2.48,0.86 
0.20,343.090.507,1.100.00,5.045.108.94,0.13 ,0.81 ,0.69 ,0.29 ,3.81 ,-0.07 ,-0.02 ,0.04 ,-0.52,0.93 
0.21,339.898.271,1.100.00,5.018.717.97,0.40 ,0.22 ,0.57 ,0.47 ,-0.08 ,0.08 ,1.19 ,0.01 ,0.04,0.31 
0.27,337.274.879,1.100.00,5.053.686.92,0.44 ,1.78 ,1.25 ,0.92 ,1.15 ,0.21 ,0.76 ,0.21 ,0.06,0.83 
0.31,340.095.553,1.100.00,5.133.428.61,0.43 ,1.10 ,1.09 ,1.21 ,0.41 ,-0.12 ,0.51 ,0.29 ,0.05,0.53 
0.36,343.812.587,1.100.00,5.191.114.72,0.60 ,3.10 ,0.78 ,0.53 ,1.52 ,0.12 ,-0.65 ,0.45 ,0.18,0.96 
0.43,341.302.698,1.100.00,5.212.554.57,1.39 ,0.68 ,0.99 ,1.02 ,1.46 ,0.23 ,-0.04 ,0.64 ,0.28,0.87 
0.44,336.844.324,1.100.00,5.262.849.94,1.02 ,2.56 ,0.90 ,0.31 ,1.82 ,0.07 ,0.39 ,0.56 ,-0.01,1.16 
0.49,331.653.831,1.100.00,5.289.723.28,1.17 ,1.04 ,1.27 ,1.80 ,2.62 ,0.54 ,0.39 ,0.75 ,0.06,1.25 
